"Coll_Word"	"1"	"2"	"3"	"4"	"5"	"exp_1"	"exp_2"	"exp_3"	"exp_4"	"exp_5"	"pbin_1"	"pbin_2"	"pbin_3"	"pbin_4"	"pbin_5"	"SumAbsDev"	"LargestDev"
"停止"	1	0	0	0	0	0.142	0.142	0.154	0.063	0.499	0.849	-0.066	-0.073	-0.028	-0.3	1.316	"1"
"通过"	0	0	2	0	2	0.566	0.568	0.617	0.253	1.996	-0.265	-0.266	0.94	-0.114	0.164	1.749	"3"
"通航"	0	0	0	0	1	0.142	0.142	0.154	0.063	0.499	-0.066	-0.066	-0.073	-0.028	0.302	0.535	"5"
"通知"	0	0	0	0	1	0.142	0.142	0.154	0.063	0.499	-0.066	-0.066	-0.073	-0.028	0.302	0.535	"5"
"同"	1	2	0	0	0	0.425	0.426	0.462	0.19	1.497	0.435	1.262	-0.218	-0.085	-0.901	2.901	"2"
"同等"	0	0	0	0	1	0.142	0.142	0.154	0.063	0.499	-0.066	-0.066	-0.073	-0.028	0.302	0.535	"5"
"同意"	2	3	0	0	1	0.849	0.851	0.925	0.38	2.994	0.691	1.388	-0.436	-0.171	-0.958	3.644	"2"
"童工"	0	0	1	0	0	0.142	0.142	0.154	0.063	0.499	-0.066	-0.066	0.812	-0.028	-0.3	1.272	"3"
"投资"	0	1	0	1	2	0.566	0.568	0.617	0.253	1.996	-0.265	0.339	-0.291	0.638	0.164	1.697	"4"
"透过"	0	0	0	0	1	0.142	0.142	0.154	0.063	0.499	-0.066	-0.066	-0.073	-0.028	0.302	0.535	"5"
"突尼斯"	1	0	0	0	0	0.142	0.142	0.154	0.063	0.499	0.849	-0.066	-0.073	-0.028	-0.3	1.316	"1"
"突破性"	0	0	0	0	1	0.142	0.142	0.154	0.063	0.499	-0.066	-0.066	-0.073	-0.028	0.302	0.535	"5"
"土耳其"	0	0	0	0	1	0.142	0.142	0.154	0.063	0.499	-0.066	-0.066	-0.073	-0.028	0.302	0.535	"5"
"推动"	0	0	0	0	2	0.283	0.284	0.308	0.127	0.998	-0.133	-0.133	-0.145	-0.057	0.604	1.072	"5"
"退出"	0	0	0	0	2	0.283	0.284	0.308	0.127	0.998	-0.133	-0.133	-0.145	-0.057	0.604	1.072	"5"
"妥协"	0	0	0	0	1	0.142	0.142	0.154	0.063	0.499	-0.066	-0.066	-0.073	-0.028	0.302	0.535	"5"
"瓦全国"	0	0	0	0	1	0.142	0.142	0.154	0.063	0.499	-0.066	-0.066	-0.073	-0.028	0.302	0.535	"5"
"外交"	0	0	1	0	0	0.142	0.142	0.154	0.063	0.499	-0.066	-0.066	0.812	-0.028	-0.3	1.272	"3"
"外空"	0	0	1	0	0	0.142	0.142	0.154	0.063	0.499	-0.066	-0.066	0.812	-0.028	-0.3	1.272	"3"
"完成"	0	0	0	0	1	0.142	0.142	0.154	0.063	0.499	-0.066	-0.066	-0.073	-0.028	0.302	0.535	"5"
"完整"	0	0	0	0	1	0.142	0.142	0.154	0.063	0.499	-0.066	-0.066	-0.073	-0.028	0.302	0.535	"5"
"王曼娜"	0	0	0	0	1	0.142	0.142	0.154	0.063	0.499	-0.066	-0.066	-0.073	-0.028	0.302	0.535	"5"
