"","clusterID","人物rén_wù","角色ɡǔ_sè","TW","ML","SG","variant_I","lect_I","TotalFreq"
"1",1,1,124,52,13,60,0.984128,0.414272,125
"2",2,37,0,23,1,13,1,0.510591672753835,37
"3",3,1,16,5,1,11,0.889273356401384,0.508650519031142,17
"4",4,32,51,21,6,56,0.526201190303382,0.524459282914792,83
"5",5,13,0,1,4,8,1,0.479289940828402,13
"6",6,11,0,4,3,4,1,0.338842975206612,11
"7",7,11,0,3,4,4,1,0.338842975206612,11
"8",8,100,21,33,28,60,0.71313434874667,0.373813264121303,121
"9",9,20,62,43,10,29,0.631171921475312,0.414931588340274,82
