"","clusterID","工作ɡōnɡ_zuō","职业zhí_yè","职务zhí_wù","行业hánɡ_yè","ML","TW","SG","variant_entropy","lect_entropy","TotalFreq"
"1",1,45,0,0,0,45,0,0,0,0,45
"2",2,161,4,2,3,167,3,0,0.2632,0.0887,170
"3",3,27,0,0,0,27,0,0,0,0,27
"4",4,12,1,0,56,61,1,7,0.535,0.4024,69
"5",5,90,30,46,23,140,25,24,1.2457,0.7519,189
