"","clusterID","股票ɡǔ_piāo","证券zhènɡ_quàn","TW","ML","SG","variant_I","lect_I","TotalFreq"
"1",1,51,41,51,10,31,0.505907372400756,0.43265595463138,92
"2",2,16,0,0,3,13,1,0.6953125,16
"3",3,37,0,5,25,7,1,0.510591672753835,37
"4",4,12,29,12,13,16,0.585960737656157,0.338488994646044,41
"5",5,124,55,66,42,71,0.574295433975219,0.348334945850629,179
"6",6,13,31,19,17,8,0.583677685950413,0.368801652892562,44
"7",7,19,72,64,17,10,0.669605120154571,0.54160125588697,91
