"","位置lì_zhì","姿势zī_shì","看法kān_fǎ","主张zhǔ_zhānɡ","姿态zī_tài","态度tài_dù","立场lì_chánɡ","TW","ML","SG","variant_entropy","lect_entropy","TotalFreq"
"cluster1",22,2,1,0,0,0,0,4,5,16,0.4433,0.9007,25
"cluster2",34,0,2,3,1,16,3,18,19,22,1.1583,1.0949,59
"cluster3",0,0,4,0,0,28,3,14,9,12,0.637,1.0828,35
"cluster4",0,0,20,70,3,15,92,102,64,34,1.2122,1.0093,200
"cluster5",0,0,2,0,0,1,7,8,1,1,0.8018,0.639,10
"cluster6",0,0,11,0,0,0,0,5,3,3,0,1.0671,11
"cluster7",0,0,0,0,6,23,0,8,8,13,0.5098,1.0702,29
"cluster8",1,3,37,11,4,60,15,53,19,59,1.4011,1.0054,131
