"","clusterID","劳工láo_ɡōnɡ","员工yuán_ɡōnɡ","工人ɡōnɡ_rén","职工zhí_ɡōnɡ","雇员ɡù_yuán","从业员cōnɡ_yè_yuán","工作者ɡōnɡ_zuō_zhě","TW","ML","SG","variant_entropy","lect_entropy","TotalFreq"
"1",1,55,32,5,7,4,0,0,82,9,12,1.1539,0.645,103
"2",2,0,28,0,0,0,0,0,9,3,16,0,0.9239,28
"3",3,10,58,12,9,14,0,0,18,23,62,1.2845,0.9452,103
"4",4,0,0,5,0,0,2,5,0,9,3,1.0282,0.5623,12
"5",5,6,5,11,40,0,0,25,11,63,13,1.3257,0.7793,87
"6",6,0,14,5,3,3,0,0,5,12,8,1.1554,1.0388,25
"7",7,18,57,44,9,5,0,9,40,40,62,1.4588,1.0756,142
