"","clusterID","前景jiǎn_jǐnɡ","期望jī_wànɡ","TW","ML","SG","variant_I","lect_I","TotalFreq"
"1",1,65,145,73,64,73,0.5726,0.3346,210
"2",2,30,0,2,27,1,1,0.8156,30
"3",3,33,0,10,14,9,1,0.3462,33
"4",4,24,0,4,17,3,1,0.5451,24
"5",5,179,24,53,86,64,0.7915,0.347,203
