"","clusterID","知识zhī_shí","学识xué_shí","学问xué_wèn","ML","SG","TW","variant_entropy","lect_entropy","TotalFreq"
"1",1,18,0,0,17,1,0,0,0.2146,18
"2",2,42,0,0,41,1,0,0,0.1125,42
"3",3,84,1,24,28,60,21,0.577,0.995,109
"4",4,60,0,0,22,10,28,0,1.0222,60
"5",5,22,0,0,12,6,4,0,0.9949,22
"6",6,27,0,0,11,7,9,0,1.082,27
"7",7,210,10,2,115,71,36,0.2346,1.0003,222
