"","clusterID","典范diǎn_fàn","榜样bǎnɡ_yánɡ","标兵biāo_bīnɡ","楷模jiē_mó","模范mó_fàn","表率biǎo_lǜ","TW","ML","SG","variant_I","lect_I","TotalFreq"
"1",1,22,19,0,0,0,0,14,19,8,0.502676977989292,0.369422962522308,41
"2",2,49,21,2,15,36,24,37,87,23,0.228747281225415,0.43810449349808,147
"3",3,7,0,0,1,1,1,0,8,2,0.52,0.68,10
"4",4,39,63,4,20,41,6,49,53,71,0.254702796618664,0.342510608439975,173
"5",5,0,1,0,43,14,0,54,2,2,0.60820451843044,0.869203329369798,58
"6",6,1,0,4,1,65,0,4,53,14,0.841698075778615,0.599285855980956,71
