"","clusterID","竞争jìnɡ_zhēnɡ","竞赛jìnɡ_sài","比赛bǐ_sài","赛事sài_shì","TW","ML","SG","variant_entropy","lect_entropy","TotalFreq"
"1",1,79,2,0,0,27,26,28,0.1158,1.0982,81
"2",2,6,1,195,6,17,119,72,0.2907,0.8914,208
"3",3,6,18,167,20,34,129,48,0.7196,0.9318,211
