"","clusterID","地位de_lì","身份juān_bīn","TW","ML","SG","variant_I","lect_I","TotalFreq"
"1",1,1,91,44,22,26,0.978497164461247,0.36578449905482,92
"2",2,37,20,15,11,31,0.544475223145583,0.402277623884272,57
"3",3,8,56,29,13,22,0.78125,0.36474609375,64
"4",4,0,36,7,15,14,1,0.362654320987654,36
"5",5,16,0,3,10,3,1,0.4609375,16
"6",6,113,31,48,47,49,0.662133487654321,0.333429783950617,144
"7",7,15,0,0,11,4,1,0.608888888888889,15
"8",8,75,1,20,38,18,0.974030470914127,0.375346260387812,76
