"","clusterID","住宅zhù_chè","住家zhù_ɡū","住房zhù_fánɡ","TW","ML","SG","variant_entropy","lect_entropy","TotalFreq"
"1",1,13,131,1,20,4,121,0.3423,0.5233,145
"2",2,62,0,93,24,103,28,0.673,0.8695,155
"3",3,143,22,35,59,75,66,0.7877,1.0938,200
