"","clusterID","利润lì_rùn","权益quán_yì","股份ɡǔ_bīn","TW","ML","SG","variant_entropy","lect_entropy","TotalFreq"
"1",1,2,208,1,116,86,9,0.0836,0.8293,211
"2",2,0,0,47,10,34,3,0,0.7391,47
"3",3,128,16,98,55,125,62,0.8825,1.0269,242
