"","clusterID","才华cái_huá","才干cái_àn","TW","ML","SG","variant_entropy","lect_entropy","TotalFreq"
"1",1,21,0,2,4,15,0,0.7801,21
"2",2,50,0,0,0,50,0,0,50
"3",3,17,5,1,16,5,0.536,0.7088,22
"4",4,34,0,0,0,34,0,0,34
"5",5,81,61,18,23,101,0.6832,0.799,142
"6",6,155,7,29,23,110,0.178,0.848,162
"7",7,68,1,15,12,42,0.0758,0.9381,69
