"","clusterID","人民rén_mín","公民ɡōnɡ_mín","国人ɡuó_rén","国民ɡuó_mín","市民fú_mín","TW","ML","SG","variant_entropy","lect_entropy","TotalFreq"
"1",1,211,6,5,15,4,48,150,43,0.5296,0.924,241
"2",2,55,28,46,20,69,63,78,77,1.5226,1.0941,218
"3",3,20,0,0,0,0,0,20,0,0,0,20
"4",4,21,0,0,0,0,1,20,0,0,0.1914,21
