"","clusterID","教授jiāo_shòu","教育jiāo_yō","TW","ML","SG","variant_I","lect_I","TotalFreq"
"1",1,3,135,71,4,63,0.957466918714556,0.473955051459777,138
"2",2,0,41,20,0,21,1,0.50029744199881,41
"3",3,0,9,3,0,6,1,0.555555555555556,9
"4",4,4,81,25,2,58,0.910311418685121,0.552664359861592,85
"5",5,45,8,32,0,21,0.743681025275899,0.521537913848345,53
"6",6,51,2,17,22,14,0.927376290494838,0.344962620149519,53
"7",7,62,9,22,18,31,0.778615354096409,0.350922436024598,71
"8",8,42,8,3,14,33,0.7312,0.5176,50
