"Coll_Word"	"1"	"2"	"3"	"4"	"exp_1"	"exp_2"	"exp_3"	"exp_4"	"pbin_1"	"pbin_2"	"pbin_3"	"pbin_4"	"SumAbsDev"	"LargestDev"
"["	0	0	1	0	0.243	0.246	0.271	0.24	-0.121	-0.123	0.568	-0.119	0.931	"3"
"／"	0	0	1	0	0.243	0.246	0.271	0.24	-0.121	-0.123	0.568	-0.119	0.931	"3"
"12"	1	0	0	0	0.243	0.246	0.271	0.24	0.614	-0.123	-0.137	-0.119	0.993	"1"
"122"	0	0	0	1	0.243	0.246	0.271	0.24	-0.121	-0.123	-0.137	0.619	1	"4"
"12万"	0	0	1	0	0.243	0.246	0.271	0.24	-0.121	-0.123	0.568	-0.119	0.931	"3"
"146"	0	0	0	1	0.243	0.246	0.271	0.24	-0.121	-0.123	-0.137	0.619	1	"4"
"15"	0	0	3	0	0.729	0.737	0.812	0.721	-0.363	-0.368	1.703	-0.358	2.792	"3"
"150多"	0	0	0	1	0.243	0.246	0.271	0.24	-0.121	-0.123	-0.137	0.619	1	"4"
"17％"	0	0	1	0	0.243	0.246	0.271	0.24	-0.121	-0.123	0.568	-0.119	0.931	"3"
"171万"	0	0	1	0	0.243	0.246	0.271	0.24	-0.121	-0.123	0.568	-0.119	0.931	"3"
"1934年"	0	0	1	0	0.243	0.246	0.271	0.24	-0.121	-0.123	0.568	-0.119	0.931	"3"
"200多"	0	0	1	0	0.243	0.246	0.271	0.24	-0.121	-0.123	0.568	-0.119	0.931	"3"
"230"	0	1	0	0	0.243	0.246	0.271	0.24	-0.121	0.609	-0.137	-0.119	0.986	"2"
"25"	0	3	0	0	0.729	0.737	0.812	0.721	-0.363	1.828	-0.411	-0.358	2.96	"2"
"3"	1	2	0	0	0.729	0.737	0.812	0.721	0.247	0.82	-0.411	-0.358	1.836	"2"
"35"	0	0	2	0	0.486	0.492	0.541	0.481	-0.242	-0.245	1.135	-0.239	1.861	"3"
"378"	0	0	1	0	0.243	0.246	0.271	0.24	-0.121	-0.123	0.568	-0.119	0.931	"3"
"3万"	0	0	2	0	0.486	0.492	0.541	0.481	-0.242	-0.245	1.135	-0.239	1.861	"3"
"4"	3	3	0	0	1.459	1.475	1.624	1.443	0.799	0.788	-0.822	-0.717	3.126	"3"
"5"	0	5	0	0	1.216	1.229	1.353	1.202	-0.605	3.047	-0.685	-0.597	4.934	"2"
"5000"	0	0	1	0	0.243	0.246	0.271	0.24	-0.121	-0.123	0.568	-0.119	0.931	"3"
"5474002"	0	0	1	0	0.243	0.246	0.271	0.24	-0.121	-0.123	0.568	-0.119	0.931	"3"
"55"	0	0	1	0	0.243	0.246	0.271	0.24	-0.121	-0.123	0.568	-0.119	0.931	"3"
"5566"	0	0	2	0	0.486	0.492	0.541	0.481	-0.242	-0.245	1.135	-0.239	1.861	"3"
"5万"	0	1	1	0	0.486	0.492	0.541	0.481	-0.242	0.365	0.33	-0.239	1.176	"2"
"6"	0	1	2	0	0.729	0.737	0.812	0.721	-0.363	0.243	0.744	-0.358	1.708	"3"
"60"	0	0	2	0	0.486	0.492	0.541	0.481	-0.242	-0.245	1.135	-0.239	1.861	"3"
"60多"	0	0	0	1	0.243	0.246	0.271	0.24	-0.121	-0.123	-0.137	0.619	1	"4"
"63"	0	0	1	0	0.243	0.246	0.271	0.24	-0.121	-0.123	0.568	-0.119	0.931	"3"
"65"	0	0	1	0	0.243	0.246	0.271	0.24	-0.121	-0.123	0.568	-0.119	0.931	"3"
"67385686"	0	0	1	0	0.243	0.246	0.271	0.24	-0.121	-0.123	0.568	-0.119	0.931	"3"
"6万"	0	0	1	0	0.243	0.246	0.271	0.24	-0.121	-0.123	0.568	-0.119	0.931	"3"
"70"	0	0	1	0	0.243	0.246	0.271	0.24	-0.121	-0.123	0.568	-0.119	0.931	"3"
"70多"	0	0	1	0	0.243	0.246	0.271	0.24	-0.121	-0.123	0.568	-0.119	0.931	"3"
"71"	0	0	1	0	0.243	0.246	0.271	0.24	-0.121	-0.123	0.568	-0.119	0.931	"3"
"75"	0	0	1	0	0.243	0.246	0.271	0.24	-0.121	-0.123	0.568	-0.119	0.931	"3"
"80"	0	0	4	1	1.216	1.229	1.353	1.202	-0.605	-0.613	1.677	-0.185	3.08	"3"
"8300"	0	1	0	0	0.243	0.246	0.271	0.24	-0.121	0.609	-0.137	-0.119	0.986	"2"
"832"	0	0	1	0	0.243	0.246	0.271	0.24	-0.121	-0.123	0.568	-0.119	0.931	"3"
"860多"	0	0	1	0	0.243	0.246	0.271	0.24	-0.121	-0.123	0.568	-0.119	0.931	"3"
"866"	0	0	1	0	0.243	0.246	0.271	0.24	-0.121	-0.123	0.568	-0.119	0.931	"3"
"9969"	0	0	1	0	0.243	0.246	0.271	0.24	-0.121	-0.123	0.568	-0.119	0.931	"3"
"APEC"	0	0	0	3	0.729	0.737	0.812	0.721	-0.363	-0.368	-0.411	1.857	2.999	"4"
"B"	1	3	0	0	0.972	0.983	1.083	0.962	0.173	1.315	-0.548	-0.478	2.514	"2"
"CDC"	0	0	0	2	0.486	0.492	0.541	0.481	-0.242	-0.245	-0.274	1.238	1.999	"4"
"COMPASS"	0	0	1	0	0.243	0.246	0.271	0.24	-0.121	-0.123	0.568	-0.119	0.931	"3"
"Energy"	0	0	1	0	0.243	0.246	0.271	0.24	-0.121	-0.123	0.568	-0.119	0.931	"3"
"JobsDB"	0	0	1	0	0.243	0.246	0.271	0.24	-0.121	-0.123	0.568	-0.119	0.931	"3"
"KinKiKids"	0	0	1	0	0.243	0.246	0.271	0.24	-0.121	-0.123	0.568	-0.119	0.931	"3"
"Machi"	0	0	1	0	0.243	0.246	0.271	0.24	-0.121	-0.123	0.568	-0.119	0.931	"3"
"MariaShriver"	0	0	1	0	0.243	0.246	0.271	0.24	-0.121	-0.123	0.568	-0.119	0.931	"3"
"Mohammad"	1	0	0	0	0.243	0.246	0.271	0.24	0.614	-0.123	-0.137	-0.119	0.993	"1"
"My"	0	0	1	0	0.243	0.246	0.271	0.24	-0.121	-0.123	0.568	-0.119	0.931	"3"
"Toro"	0	0	1	0	0.243	0.246	0.271	0.24	-0.121	-0.123	0.568	-0.119	0.931	"3"
"V]Community"	0	0	1	0	0.243	0.246	0.271	0.24	-0.121	-0.123	0.568	-0.119	0.931	"3"
"WHO"	0	0	1	2	0.729	0.737	0.812	0.721	-0.363	-0.368	0.213	0.837	1.781	"4"
"WTO"	0	0	0	4	0.972	0.983	1.083	0.962	-0.484	-0.49	-0.548	2.476	3.998	"4"
"www.cestlav.com"	0	0	1	0	0.243	0.246	0.271	0.24	-0.121	-0.123	0.568	-0.119	0.931	"3"
"z"	1	0	0	0	0.243	0.246	0.271	0.24	0.614	-0.123	-0.137	-0.119	0.993	"1"
"一些"	1	2	2	1	1.459	1.475	1.624	1.443	-0.259	0.341	0.289	-0.254	1.143	"2"
"一半"	0	0	1	0	0.243	0.246	0.271	0.24	-0.121	-0.123	0.568	-0.119	0.931	"3"
"一块儿"	0	0	1	0	0.243	0.246	0.271	0.24	-0.121	-0.123	0.568	-0.119	0.931	"3"
"一年"	1	0	0	0	0.243	0.246	0.271	0.24	0.614	-0.123	-0.137	-0.119	0.993	"1"
"一百万"	0	0	1	0	0.243	0.246	0.271	0.24	-0.121	-0.123	0.568	-0.119	0.931	"3"
"一致"	0	1	0	0	0.243	0.246	0.271	0.24	-0.121	0.609	-0.137	-0.119	0.986	"2"
"一起"	0	0	2	0	0.486	0.492	0.541	0.481	-0.242	-0.245	1.135	-0.239	1.861	"3"
