"","clusterID","书记shū_jì","店员diàn_yuán","职员zhí_yuán","营业员yíng_yè_yuán","TW","ML","SG","variant_entropy","lect_entropy","TotalFreq"
"1",1,2,3,35,0,2,1,37,0.4609,0.3141,40
"2",2,0,0,28,0,2,6,20,0,0.7589,28
"3",3,14,22,114,13,26,30,107,0.9329,0.8806,163
"4",4,22,0,0,0,0,20,2,0,0.3046,22
"5",5,23,0,0,0,1,22,0,0,0.1788,23
"6",6,41,0,0,0,5,30,6,0,0.7664,41
"7",7,59,0,0,0,3,52,4,0,0.4452,59
"8",8,124,0,0,0,19,93,12,0,0.7292,124
