"","clusterID","实力shí_lì","能力nái_lì","能耐nái_nài","ML","SG","TW","variant_entropy","lect_entropy","TotalFreq"
"1",1,10,18,0,18,10,0,0.6518,0.6518,28
"2",2,66,7,0,36,33,4,0.316,0.8667,73
"3",3,5,28,1,12,10,12,0.5455,1.0951,34
"4",4,9,57,0,16,35,15,0.3983,1.0166,66
"5",5,2,7,0,6,2,1,0.5297,0.8487,9
"6",6,32,134,1,56,47,64,0.5239,1.0908,167
"7",7,0,26,0,24,2,0,0,0.2712,26
"8",8,15,82,0,66,19,12,0.4307,0.8399,97
