"","clusterID","位置lì_zhì","姿势zī_shì","姿态zī_tài","态度tài_dù","立场lì_chánɡ","TW","ML","SG","variant_entropy","lect_entropy","TotalFreq"
"1",1,91,1,4,6,6,24,33,51,0.6309,1.0508,108
"2",2,0,0,0,27,7,16,11,7,0.5084,1.0452,34
"3",3,3,1,15,110,9,48,28,62,0.719,1.0504,138
"4",4,1,0,1,63,155,107,48,65,0.6539,1.043,220
