"","clusterID","力量lì_liánɡ","势力shì_lì","TW","ML","SG","variant_entropy","lect_entropy","TotalFreq"
"1",1,49,0,5,33,11,0,0.8345,49
"2",2,120,2,41,57,24,0.0836,1.0419,122
"3",3,10,2,5,0,7,0.4506,0.6792,12
"4",4,113,42,37,64,54,0.5842,1.0745,155
"5",5,6,4,4,2,4,0.673,1.0549,10
"6",6,19,94,35,40,38,0.4529,1.0971,113
"7",7,16,0,3,8,5,0,1.0239,16
"8",8,23,0,0,20,3,0,0.3872,23
