"","clusterID","基金jī_jīn","经费jīnɡ_fèi","资金zī_jīn","库存kù_cún","TW","ML","SG","variant_entropy","lect_entropy","TotalFreq"
"1",1,30,0,0,0,8,12,10,0,1.0852,30
"2",2,23,0,0,0,21,0,2,0,0.2954,23
"3",3,66,69,24,0,83,39,37,1.0127,1.0233,159
"4",4,2,24,54,0,20,46,14,0.7187,0.9698,80
"5",5,84,10,108,6,72,87,49,0.9547,1.0724,208
