"","clusterID","公安ɡōnɡ_ān","警察jǐnɡ_chá","警方jǐnɡ_fānɡ","员警yuán_jǐnɡ","警员jǐnɡ_yuán","TW","ML","SG","variant_entropy","lect_entropy","TotalFreq"
"1",1,2,2,14,0,0,4,4,10,0.6837,0.995,18
"2",2,2,6,103,3,3,51,25,41,0.522,1.0592,117
"3",3,0,0,26,0,0,12,1,13,0,0.8287,26
"4",4,3,21,134,5,11,61,28,85,0.8029,1.0114,174
"5",5,39,14,6,6,3,23,34,11,1.2104,1.0079,68
"6",6,3,21,25,0,1,18,10,22,0.958,1.0509,50
"7",7,4,31,11,0,1,14,18,15,0.906,1.0928,47
