"","clusterID","疾病jí_bìnɡ","病症bìnɡ_zhēnɡ","TW","ML","SG","variant_entropy","lect_entropy","TotalFreq"
"1",1,83,0,12,62,9,0,0.7384,83
"2",2,31,0,23,3,5,0,0.7417,31
"3",3,58,6,12,36,16,0.3111,0.9841,64
"4",4,50,4,32,14,8,0.2641,0.9429,54
"5",5,82,18,24,43,33,0.4714,1.0713,100
"6",6,21,0,2,15,4,0,0.7801,21
"7",7,18,1,8,8,3,0.2062,1.0199,19
"8",8,36,1,14,13,10,0.1243,1.0888,37
"9",9,11,1,11,0,1,0.2868,0.2868,12
"10",10,69,10,28,25,26,0.3798,1.0975,79
