"","clusterID","准则zhǔn_zé","标准biāo_zhǔn","规范ɡuī_fàn","惯例ɡuàn_lì","TW","ML","SG","variant_I","lect_I","TotalFreq"
"1",1,4,5,75,0,14,61,9,0.803004535147392,0.566609977324263,84
"2",2,0,18,4,1,6,10,7,0.64461247637051,0.349716446124764,23
"3",3,17,47,33,13,55,39,16,0.310413223140496,0.396859504132231,110
"4",4,0,12,0,0,5,7,0,1,0.513888888888889,12
"5",5,1,55,17,0,18,44,11,0.622067930193282,0.446800525426909,73
"6",6,1,65,0,0,15,40,11,0.970156106519743,0.44674012855831,66
"7",7,0,6,0,0,2,2,2,1,0.333333333333333,6
"8",8,11,92,12,11,41,45,40,0.557445200302343,0.334215167548501,126
