"","clusterID","路线lù_xiàn","轨道ɡuǐ_dǎo","道路dǎo_lù","路途lù_tú","途径tú_jìnɡ","TW","ML","SG","variant_I","lect_I","TotalFreq"
"1",1,1,5,21,0,0,7,17,3,0.6406,0.476,27
"2",2,53,44,113,1,3,76,83,55,0.3827,0.3426,214
"3",3,14,0,18,1,0,4,15,14,0.4784,0.4013,33
"4",4,0,0,0,0,24,5,15,4,1,0.4618,24
"5",5,35,16,72,3,76,51,101,50,0.3051,0.375,202
