"","clusterID","典礼diǎn_lǐ","庆典qìng_diǎn","聚会jù_huì","集会jí_huì","TW","ML","SG","variant_entropy","lect_entropy","TotalFreq"
"1",1,52,0,0,0,35,7,10,0,0.8535,52
"2",2,178,21,7,27,157,39,37,0.7776,0.8574,233
"3",3,0,25,0,0,2,0,23,0,0.2788,25
"4",4,17,39,25,19,29,27,44,1.3306,1.0737,100
"5",5,0,0,12,78,50,25,15,0.3927,0.981,90
