"","clusterID","聚会jù_huì","集会jí_huì","TW","ML","SG","variant_I","lect_I","TotalFreq"
"1",1,7,80,60,8,19,0.852028008984014,0.531774342713701,87
"2",2,40,0,9,10,21,1,0.38875,40
"3",3,95,68,54,47,62,0.513718995822199,0.337573864277918,163
"4",4,14,56,13,38,19,0.68,0.402857142857143,70
"5",5,1,36,17,12,8,0.947406866325785,0.363038714390066,37
"6",6,0,22,7,2,13,1,0.458677685950413,22
"7",7,2,79,31,32,18,0.951836610272824,0.35192805974699,81
