"","clusterID","建物jiàn_wù","建筑jiàn_zhú","建筑物jiàn_zhú_wù","TW","ML","SG","variant_I","lect_I","TotalFreq"
"1",1,1,93,9,17,50,36,0.822980488264681,0.385050428881139,103
"2",2,0,38,2,4,16,20,0.905,0.42,40
"3",3,0,35,0,2,19,14,1,0.457959183673469,35
"4",4,1,39,18,15,25,18,0.548751486325803,0.348989298454221,58
"5",5,13,99,23,56,36,43,0.576076817558299,0.344636488340192,135
"6",6,0,89,40,26,59,44,0.572141097289826,0.366143861546782,129
