"","clusterID","争端zhēnɡ_duān","争议zhēnɡ_yì","争论zhēnɡ_lún","争执zhēnɡ_zhí","TW","ML","SG","variant_entropy","lect_entropy","TotalFreq"
"1",1,1,34,8,0,22,7,14,0.586,1.0037,43
"2",2,2,28,1,0,21,2,8,0.3795,0.7902,31
"3",3,10,31,2,0,23,11,9,0.7178,1.0108,43
"4",4,0,9,0,0,5,0,4,0,0.687,9
"5",5,10,82,28,53,73,34,66,1.1758,1.0515,173
"6",6,25,8,0,3,8,18,10,0.7945,1.0366,36
"7",7,0,31,0,0,31,0,0,0,0,31
"8",8,9,109,9,7,113,9,12,0.6849,0.5412,134
