"","clusterID","损失sǔn_shī","损害sǔn_hài","危害wēi_hài","伤害shānɡ_hài","损伤sǔn_shānɡ","TW","ML","SG","variant_I","lect_I","TotalFreq"
"1",1,17,1,0,0,0,6,4,8,0.895061728395062,0.358024691358025,18
"2",2,10,7,0,0,0,4,7,6,0.515570934256055,0.349480968858132,17
"3",3,99,0,2,0,0,37,40,24,0.961180276443486,0.347514949514753,101
"4",4,49,33,65,65,20,67,107,58,0.229265755053508,0.358613258026159,232
"5",5,18,2,1,11,0,14,14,4,0.439453125,0.3984375,32
"6",6,18,2,3,6,1,7,13,10,0.415555555555556,0.353333333333333,30
"7",7,23,17,7,19,4,26,34,10,0.253877551020408,0.394285714285714,70
