"","clusterID","单位chán_lì","机构jī_ɡòu","机关jī_ɡuān","部门bù_mén","TW","ML","SG","variant_I","lect_I","TotalFreq"
"1",1,14,2,0,0,8,2,6,0.78125,0.40625,16
"2",2,56,70,24,90,45,167,28,0.290138888888889,0.532951388888889,240
"3",3,14,4,30,19,27,36,4,0.328135442192025,0.454666963689018,67
"4",4,0,23,0,0,14,9,0,1,0.523629489603025,23
"5",5,58,62,15,19,46,62,46,0.328638893573959,0.34052960026986,154
