"","clusterID","报告bào_ɡào","报道bào_dǎo","ML","SG","TW","variant_I","lect_I","TotalFreq"
"1",1,2,69,27,44,0,0.945248958539972,0.528664947431065,71
"2",2,0,85,53,32,0,1,0.530519031141868,85
"3",3,22,0,19,2,1,1,0.756198347107438,22
"4",4,0,12,5,7,0,1,0.513888888888889,12
"5",5,76,24,33,37,30,0.6352,0.3358,100
"6",6,20,40,25,31,4,0.555555555555556,0.445,60
"7",7,69,0,21,5,43,1,0.48624238605335,69
"8",8,81,0,28,21,32,1,0.342783112330437,81
