"","clusterID","才能cái_nái","实力shí_lì","能力nái_lì","能耐nái_nài","TW","ML","SG","variant_entropy","lect_entropy","TotalFreq"
"1",1,20,0,0,0,2,13,5,0,0.8568,20
"2",2,125,19,51,2,66,43,88,0.9107,1.0586,197
"3",3,0,42,20,0,6,33,23,0.6288,0.9295,62
"4",4,0,1,27,0,1,25,2,0.1541,0.4087,28
"5",5,26,31,135,1,63,75,55,0.8411,1.0905,193
