"","clusterID","报章bào_zhānɡ","报纸bào_zhǐ","TW","ML","SG","variant_entropy","lect_entropy","TotalFreq"
"1",1,1,76,31,43,3,0.0693,0.8181,77
"2",2,51,14,3,8,54,0.521,0.5538,65
"3",3,106,136,57,40,145,0.6854,0.945,242
"4",4,48,68,23,20,73,0.6782,0.9154,116
