"","clusterID","保险bǎo_xiǎn","保障bǎo_zhānɡ","TW","ML","SG","variant_I","lect_I","TotalFreq"
"1",1,83,2,8,50,27,0.954048442906574,0.455778546712803,85
"2",2,36,1,10,20,7,0.947406866325785,0.401022644265888,37
"3",3,65,0,10,33,22,1,0.395976331360947,65
"4",4,44,10,0,54,0,0.698216735253772,1,54
"5",5,10,82,10,71,11,0.806238185255198,0.621691871455577,92
"6",6,0,13,10,2,1,1,0.621301775147929,13
"7",7,0,21,4,12,5,1,0.419501133786848,21
"8",8,41,92,50,54,29,0.573520266832495,0.353722652495901,133
