"Coll_Word"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"exp_1"	"exp_2"	"exp_3"	"exp_4"	"exp_5"	"exp_6"	"exp_7"	"pbin_1"	"pbin_2"	"pbin_3"	"pbin_4"	"pbin_5"	"pbin_6"	"pbin_7"	"SumAbsDev"	"LargestDev"
"－－"	0	0	2	0	0	0	0	0.114	0.138	0.765	0.205	0.332	0.324	0.121	-0.051	-0.062	0.835	-0.094	-0.158	-0.154	-0.054	1.408	"3"
"－－－"	1	0	1	0	0	0	0	0.114	0.138	0.765	0.205	0.332	0.324	0.121	0.956	-0.062	0.209	-0.094	-0.158	-0.154	-0.054	1.687	"1"
"------"	0	0	0	1	0	0	0	0.057	0.069	0.382	0.103	0.166	0.162	0.061	-0.025	-0.031	-0.209	0.988	-0.079	-0.077	-0.027	1.436	"4"
"："	1	1	18	0	0	0	1	1.197	1.449	8.032	2.157	3.487	3.403	1.274	-0.179	-0.245	4.975	-0.988	-1.656	-1.612	-0.199	9.854	"3"
"!"	0	1	0	0	0	0	0	0.057	0.069	0.382	0.103	0.166	0.162	0.061	-0.025	1.161	-0.209	-0.047	-0.079	-0.077	-0.027	1.625	"2"
"！"	1	0	10	0	3	0	1	0.855	1.035	5.737	1.541	2.491	2.431	0.91	0.232	-0.466	1.613	-0.706	0.332	-1.152	0.215	4.716	"3"
"？"	0	0	8	0	0	1	0	0.513	0.621	3.442	0.924	1.494	1.458	0.546	-0.229	-0.28	2.565	-0.424	-0.71	-0.253	-0.245	4.706	"3"
"…"	0	0	1	0	1	0	0	0.114	0.138	0.765	0.205	0.332	0.324	0.121	-0.051	-0.062	0.209	-0.094	0.516	-0.154	-0.054	1.14	"5"
"……"	0	0	2	0	0	0	0	0.114	0.138	0.765	0.205	0.332	0.324	0.121	-0.051	-0.062	0.835	-0.094	-0.158	-0.154	-0.054	1.408	"3"
"‘"	0	0	3	0	0	0	0	0.171	0.207	1.147	0.308	0.498	0.486	0.182	-0.076	-0.093	1.252	-0.141	-0.237	-0.23	-0.082	2.111	"3"
"’"	0	0	1	0	0	0	0	0.057	0.069	0.382	0.103	0.166	0.162	0.061	-0.025	-0.031	0.417	-0.047	-0.079	-0.077	-0.027	0.703	"3"
"（"	1	1	5	0	15	5	2	1.654	2.002	11.091	2.978	4.816	4.7	1.76	-0.3	-0.402	-1.884	-1.365	4.83	0.287	0.274	9.342	"5"
"《"	0	0	4	0	0	0	0	0.228	0.276	1.53	0.411	0.664	0.648	0.243	-0.102	-0.124	1.67	-0.188	-0.315	-0.307	-0.109	2.815	"3"
"》"	0	0	3	0	0	0	0	0.171	0.207	1.147	0.308	0.498	0.486	0.182	-0.076	-0.093	1.252	-0.141	-0.237	-0.23	-0.082	2.111	"3"
"10余"	0	0	0	0	0	0	1	0.057	0.069	0.382	0.103	0.166	0.162	0.061	-0.025	-0.031	-0.209	-0.047	-0.079	-0.077	1.217	1.685	"7"
"1290"	1	0	0	0	0	0	0	0.057	0.069	0.382	0.103	0.166	0.162	0.061	1.244	-0.031	-0.209	-0.047	-0.079	-0.077	-0.027	1.714	"1"
"1977年"	0	0	0	0	0	0	1	0.057	0.069	0.382	0.103	0.166	0.162	0.061	-0.025	-0.031	-0.209	-0.047	-0.079	-0.077	1.217	1.685	"7"
"1978年"	0	1	0	0	0	0	0	0.057	0.069	0.382	0.103	0.166	0.162	0.061	-0.025	1.161	-0.209	-0.047	-0.079	-0.077	-0.027	1.625	"2"
"1994年"	0	0	1	0	0	0	0	0.057	0.069	0.382	0.103	0.166	0.162	0.061	-0.025	-0.031	0.417	-0.047	-0.079	-0.077	-0.027	0.703	"3"
"2时"	0	0	0	0	0	1	0	0.057	0.069	0.382	0.103	0.166	0.162	0.061	-0.025	-0.031	-0.209	-0.047	-0.079	0.79	-0.027	1.208	"6"
"34"	0	0	0	0	1	1	0	0.114	0.138	0.765	0.205	0.332	0.324	0.121	-0.051	-0.062	-0.419	-0.094	0.516	0.526	-0.054	1.722	"6"
