"","clusterID","地点de_diǎn","位置lì_zhì","局面jú_miàn","立场lì_chánɡ","地位de_lì","形势xíng_shì","TW","ML","SG","variant_entropy","lect_entropy","TotalFreq"
"1",1,15,0,0,0,0,0,3,1,11,0,0.7299,15
"2",2,60,21,1,8,0,0,30,17,43,0.875,1.0339,90
"3",3,3,16,6,0,7,6,6,15,17,1.4592,1.0182,38
"4",4,8,5,19,1,11,8,14,21,17,1.5736,1.085,52
"5",5,2,0,3,108,8,6,56,39,32,0.61,1.0709,127
"6",6,0,0,26,2,7,12,9,25,13,1.094,1.0078,47
"7",7,2,6,9,1,63,50,21,77,33,1.146,0.9531,131
