"","clusterID","凌晨línɡ_chén","清晨qīng_chén","一大早yī_dà_zǎo","早晨zǎo_chén","大清早dà_qīng_zǎo","清早qīng_zǎo","TW","SG","ML","variant_I","lect_I","TotalFreq"
"1",1,28,15,0,0,0,0,16,27,0,0.545700378583018,0.532720389399675,43
"2",2,18,19,2,2,0,0,34,4,3,0.412254610350982,0.702558001189768,41
"3",3,41,23,0,0,0,0,61,3,0,0.53955078125,0.91064453125,64
"4",4,56,8,0,18,0,0,4,12,66,0.524092801903629,0.671624033313504,82
"5",5,64,18,0,7,1,1,2,59,30,0.539910638811738,0.52952541963531,91
"6",6,30,15,16,10,3,4,20,34,24,0.247534516765286,0.35042735042735,78
"7",7,73,25,1,1,0,1,48,32,21,0.583962356631703,0.369473581021468,101
