"","clusterID","演员yǎn_yuán","艺人yì_rén","TW","ML","SG","variant_entropy","lect_entropy","TotalFreq"
"1",1,94,181,62,34,179,0.6422,0.8738,275
"2",2,57,16,16,20,37,0.5259,1.0318,73
"3",3,13,18,11,0,20,0.6801,0.6504,31
"4",4,101,20,44,8,69,0.4483,0.8677,121
