"","clusterID","生命shēnɡ_mìnɡ","生活shēnɡ_ɡuō","ML","SG","TW","variant_entropy","lect_entropy","TotalFreq"
"1",1,12,1,8,5,0,0.2712,0.6663,13
"2",2,9,0,3,1,5,0,0.9369,9
"3",3,118,136,83,93,78,0.6906,1.0959,254
"4",4,0,17,6,8,3,0,1.0284,17
"5",5,16,3,13,4,2,0.4362,0.8247,19
"6",6,5,183,135,28,25,0.1227,0.7897,188
