"","clusterID","货币huò_bì","TW","ML","SG","variant_entropy","lect_entropy","TotalFreq"
"1",1,110,20,60,30,0,0.9949,110
"2",2,90,30,40,20,0,1.0609,90
"3",3,300,91,153,56,0,1.0186,300
