"","clusterID","晚上wǎn_shǎnɡ","晚间wǎn_jiān","夜晚yè_wǎn","夜间yè_jiān","TW","ML","SG","variant_I","lect_I","TotalFreq"
"1",1,22,7,0,0,15,1,13,0.633769322235434,0.469678953626635,29
"2",2,67,103,3,1,149,9,16,0.499009116131589,0.74441802087462,174
"3",3,86,0,0,0,0,4,82,1,0.911303407247161,86
"4",4,29,9,18,34,20,30,40,0.296543209876543,0.358024691358025,90
"5",5,110,3,1,7,18,33,70,0.830476060378389,0.431186394371969,121
