"","clusterID","运动员yǔn_dònɡ_yuán","选手xuǎn_shǒu","TW","ML","SG","variant_I","lect_I","TotalFreq"
"1",1,65,48,24,74,15,0.5113,0.4916,113
"2",2,65,322,62,272,53,0.7205,0.5384,387
