"","clusterID","生命shēnɡ_mìnɡ","生活shēnɡ_ɡuō","ML","SG","TW","variant_I","lect_I","TotalFreq"
"1",1,12,1,8,5,0,0.858,0.5266,13
"2",2,9,0,3,1,5,1,0.4321,9
"3",3,118,136,83,93,78,0.5025,0.3351,254
"4",4,0,17,6,8,3,1,0.3772,17
"5",5,16,3,13,4,2,0.7341,0.5235,19
"6",6,5,183,135,28,25,0.9482,0.5555,188
