"","clusterID","方案fānɡ_àn","计划jì_ɡuǒ","ML","TW","SG","variant_entropy","lect_entropy","TotalFreq"
"1",1,1,22,23,0,0,0.1788,0,23
"2",2,0,46,27,3,16,0,0.8581,46
"3",3,3,67,18,13,39,0.1769,0.9878,70
"4",4,28,65,41,26,26,0.6118,1.0737,93
"5",5,7,8,3,6,6,0.6909,1.0549,15
"6",6,67,186,124,58,71,0.578,1.0438,253
