"","clusterID","演员yǎn_yuán","艺人yì_rén","TW","ML","SG","variant_entropy","lect_entropy","TotalFreq"
"1",1,35,67,29,17,56,0.6431,0.9854,102
"2",2,59,114,33,17,123,0.6417,0.7865,173
"3",3,22,1,9,4,10,0.1788,1.0335,23
"4",4,35,15,7,16,27,0.6109,0.9726,50
"5",5,13,18,11,0,20,0.6801,0.6504,31
"6",6,101,20,44,8,69,0.4483,0.8677,121
