"","clusterID","专题zhuān_tí","主题zhǔ_tí","题目tí_mù","TW","ML","SG","variant_I","lect_I","TotalFreq"
"1",1,28,10,1,33,2,4,0.581854043392505,0.729125575279421,39
"2",2,1,48,1,47,3,0,0.9224,0.8872,50
"3",3,1,71,0,2,56,14,0.972608024691358,0.643518518518518,72
"4",4,0,10,0,8,0,2,1,0.68,10
"5",5,0,19,0,6,5,8,1,0.346260387811634,19
"6",6,50,129,33,71,69,72,0.450115699537202,0.333437166251335,212
"7",7,11,1,2,6,2,6,0.642857142857143,0.387755102040816,14
"8",8,37,46,1,36,39,9,0.494047619047619,0.410714285714286,84
