"","clusterID","心情xīn_qíng","情绪qíng_xù","感觉ɡǎn_jiào","TW","ML","SG","variant_I","lect_I","TotalFreq"
"1",1,52,8,37,20,18,59,0.439685407588479,0.446912530555851,97
"2",2,50,8,131,34,37,118,0.552196187116822,0.460485428739397,189
"3",3,0,11,0,1,4,6,1,0.43801652892562,11
"4",4,0,20,0,5,5,10,1,0.375,20
"5",5,4,4,0,2,3,3,0.5,0.34375,8
"6",6,37,124,14,47,37,91,0.553175510204082,0.387232653061225,175
