"","clusterID","人物rén_wù","角色ɡǔ_sè","TW","ML","SG","variant_entropy","lect_entropy","TotalFreq"
"1",1,1,124,52,13,60,0.0466,0.9526,125
"2",2,37,0,23,1,13,0,0.7606,37
"3",3,1,16,5,1,11,0.2237,0.8083,17
"4",4,32,51,21,6,56,0.6667,0.8031,83
"5",5,13,0,1,4,8,0,0.8587,13
"6",6,11,0,4,3,4,0,1.0901,11
"7",7,11,0,3,4,4,0,1.0901,11
"8",8,100,21,33,28,60,0.4615,1.0409,121
"9",9,20,62,43,10,29,0.5555,0.9627,82
