"","clusterID","行为hánɡ_wéi","表现biǎo_xiàn","TW","ML","SG","variant_entropy","lect_entropy","TotalFreq"
"1",1,180,1,57,70,54,0.0342,1.0921,181
"2",2,0,38,16,0,22,0,0.6806,38
"3",3,59,40,24,26,49,0.6746,1.0428,99
"4",4,7,175,48,26,108,0.163,0.9392,182
