"","clusterID","大楼dà_lóu","大厦dà_shà","高楼ɡāo_lóu","ML","SG","TW","variant_I","lect_I","TotalFreq"
"1",1,32,0,0,21,11,0,1,0.5488,32
"2",2,41,0,0,0,0,41,1,1,41
"3",3,67,71,4,28,62,52,0.4734,0.3636,142
"4",4,1,18,0,3,5,11,0.9003,0.4294,19
"5",5,107,132,27,68,127,71,0.4184,0.3645,266
