"","clusterID","宣传xuān_chuán","广告ān_ɡào","TW","ML","SG","variant_I","lect_I","TotalFreq"
"1",1,162,14,18,125,33,0.8536,0.55,176
"2",2,124,149,87,61,125,0.5042,0.3611,273
"3",3,7,21,12,5,11,0.625,0.3699,28
"4",4,0,23,9,1,13,1,0.4745,23
