"","clusterID","买卖mǎi_mài","交易jiāo_yì","生意shēnɡ_yī","TW","ML","SG","variant_entropy","lect_entropy","TotalFreq"
"1",1,18,75,112,42,45,118,0.9117,0.9756,205
"2",2,2,82,0,36,21,27,0.1125,1.0745,84
"3",3,31,177,3,87,82,42,0.4896,1.0539,211
