"","clusterID","劳工láo_ɡōnɡ","员工yuán_ɡōnɡ","工人ɡōnɡ_rén","职工zhí_ɡōnɡ","雇员ɡù_yuán","从业员cōnɡ_yè_yuán","工作者ɡōnɡ_zuō_zhě","TW","ML","SG","variant_I","lect_I","TotalFreq"
"1",1,55,32,5,7,4,0,0,82,9,12,0.390140446790461,0.655009897257046,103
"2",2,0,28,0,0,0,0,0,9,3,16,1,0.441326530612245,28
"3",3,10,58,12,9,14,0,0,18,23,62,0.366198510698464,0.442737298520124,103
"4",4,0,0,5,0,0,2,5,0,9,3,0.375,0.625,12
"5",5,6,5,11,40,0,0,25,11,63,13,0.318007662835249,0.562689919408112,87
"6",6,0,14,5,3,3,0,0,5,12,8,0.3824,0.3728,25
"7",7,18,57,44,9,5,0,9,40,40,62,0.282483634199564,0.349335449315612,142
