"","clusterID","利润lì_rùn","权益quán_yì","股份ɡǔ_bīn","TW","ML","SG","variant_I","lect_I","TotalFreq"
"1",1,2,208,1,116,86,9,0.9719,0.4702,211
"2",2,0,0,47,10,34,3,1,0.5727,47
"3",3,128,16,98,55,125,62,0.4481,0.3841,242
