"","clusterID","仪式yí_shì","典礼diǎn_lǐ","惯例ɡuàn_lì","TW","ML","SG","variant_entropy","lect_entropy","TotalFreq"
"1",1,14,44,0,34,10,14,0.5527,0.9593,58
"2",2,28,4,0,9,1,22,0.3768,0.7227,32
"3",3,16,21,0,22,4,11,0.684,0.9102,37
"4",4,20,0,0,0,18,2,0,0.3251,20
"5",5,127,38,1,61,70,35,0.5732,1.0602,166
"6",6,5,18,0,14,5,4,0.5236,0.9381,23
"7",7,1,0,30,13,6,12,0.1425,1.0497,31
"8",8,11,5,0,6,9,1,0.6211,0.8647,16
"9",9,96,19,2,52,34,31,0.5271,1.0715,117
