"","clusterID","工艺ɡōnɡ_yì","手工艺shǒu_ɡōnɡ_yì","手段shǒu_duàn","手艺shǒu_yì","技巧jì_qiǎo","技艺jì_yì","TW","ML","SG","variant_I","lect_I","TotalFreq"
"1",1,52,2,40,15,60,26,49,74,72,0.2317,0.3435,195
"2",2,1,0,136,0,0,0,43,66,28,0.9855,0.3724,137
"3",3,43,0,120,0,5,0,8,141,19,0.5766,0.7195,168
