"","clusterID","协定xié_dìnɡ","协议xié_yì","公约ɡōnɡ_yāo","条约tiáo_yāo","TW","ML","SG","variant_I","lect_I","TotalFreq"
"1",1,5,96,0,0,43,46,12,0.905891579256936,0.402803646701304,101
"2",2,23,66,40,32,49,81,31,0.289687897843447,0.382817020948266,161
"3",3,18,55,0,9,20,40,22,0.510113027959548,0.369422962522308,82
"4",4,10,21,1,7,10,18,11,0.388560157790927,0.358316896778435,39
"5",5,40,57,0,20,29,55,33,0.383446562933742,0.361969464533567,117
