"","clusterID","房屋fánɡ_wū","屋子wū_zǐ","房子fánɡ_zǐ","TW","ML","SG","variant_I","lect_I","TotalFreq"
"1",1,37,0,0,4,1,32,1,0.7604,37
"2",2,117,1,10,61,24,43,0.8417,0.3751,128
"3",3,9,34,82,11,19,95,0.5095,0.6084,125
"4",4,28,0,0,6,19,3,1,0.5179,28
"5",5,89,2,37,37,56,35,0.5673,0.3497,128
"6",6,10,0,11,9,3,9,0.5011,0.3878,21
"7",7,14,7,12,3,10,20,0.3572,0.4674,33
