"","clusterID","才能cái_nái","实力shí_lì","能力nái_lì","能耐nái_nài","TW","ML","SG","variant_I","lect_I","TotalFreq"
"1",1,20,0,0,0,2,13,5,1,0.495,20
"2",2,125,19,51,2,66,43,88,0.479,0.3594,197
"3",3,0,42,20,0,6,33,23,0.563,0.4303,62
"4",4,0,1,27,0,1,25,2,0.9311,0.8036,28
"5",5,26,31,135,1,63,75,55,0.5332,0.3388,193
