"","clusterID","士兵shì_bīnɡ","军人jūn_rén","战士zhàn_shì","TW","ML","SG","variant_I","lect_I","TotalFreq"
"1",1,68,0,0,1,60,7,1,0.789359861591695,68
"2",2,109,27,5,30,96,15,0.63553141190081,0.520144861928474,141
"3",3,0,16,0,0,15,1,1,0.8828125,16
"4",4,54,24,1,10,46,23,0.559685947764781,0.439833360038455,79
"5",5,1,12,2,6,8,1,0.662222222222222,0.448888888888889,15
"6",6,2,8,40,2,35,13,0.6672,0.5592,50
"7",7,7,21,1,6,7,16,0.583828775267539,0.405469678953627,29
"8",8,0,14,0,1,1,12,1,0.744897959183673,14
"9",9,30,41,17,30,32,26,0.370609504132231,0.335743801652893,88
