"","clusterID","丈夫zhànɡ_fū","先生xiān_shēnɡ","老公lǎo_ɡōnɡ","TW","ML","SG","variant_entropy","lect_entropy","TotalFreq"
"1",1,171,22,18,21,25,165,0.6161,0.6747,211
"2",2,8,111,3,37,45,40,0.3557,1.0953,122
"3",3,13,153,1,22,38,107,0.3096,0.8891,167
