"","clusterID","公务人员ɡōnɡ_wù_rén_yuán","公务员ɡōnɡ_wù_yuán","官员ɡuān_yuán","职员zhí_yuán","TW","ML","SG","variant_entropy","lect_entropy","TotalFreq"
"1",1,15,45,89,58,94,33,80,1.2413,1.0186,207
"2",2,0,2,289,2,116,118,59,0.0816,1.0558,293
